TU_RLTY_KID;Error;Error_text;KNum
5755889;0;;43:40:001030:1320
5755873;0;;43:40:001030:1321
5755875;0;;43:40:001030:1322
5755877;0;;43:40:001030:1323
5755879;0;;43:40:001030:1324
5755881;0;;43:40:001030:1325
5755883;0;;43:40:001030:1326
5755779;0;;43:40:001030:1273
5755885;0;;43:40:001030:1327
5755887;0;;43:40:001030:1328
5755891;1;Parse error;
5755893;1;Parse error;
5755895;0;;43:40:001030:1331
5755781;0;;43:40:001030:1274
5755783;0;;43:40:001030:1275
5755785;0;;43:40:001030:1276
5680538;0;;43:40:001030:1337
5755897;0;;43:40:001030:1337
5756011;0;;43:40:001030:1339
5755899;0;;43:40:001030:1348
5755901;0;;43:40:001030:1349
5755903;0;;43:40:001030:1350
5755905;0;;43:40:001030:1351
5755907;0;;43:40:001030:1352
5755909;0;;43:40:001030:1353
5755911;0;;43:40:001030:1354
5755913;0;;43:40:001030:1355
5755915;0;;43:40:001030:1356
5755917;0;;43:40:001030:1357
5756013;0;;43:40:001030:1340
5755919;0;;43:40:001030:1358
5755921;0;;43:40:001030:1359
5755923;0;;43:40:001030:1360
5755925;0;;43:40:001030:1361
5755927;0;;43:40:001030:1362
5755929;0;;43:40:001030:1363
5755931;0;;43:40:001030:1338
5755933;1;Parse error;
5755935;1;Parse error;
5755937;0;;43:40:001030:1372
5756015;0;;43:40:001030:1341
5755939;0;;43:40:001030:1373
5755941;0;;43:40:001030:1366
5755943;0;;43:40:001030:1367
5755945;0;;43:40:001030:1368
5755947;0;;43:40:001030:1369
5755949;0;;43:40:001030:1370
5755951;0;;43:40:001030:1371
5755953;0;;43:40:001030:1374
5755955;0;;43:40:001030:1375
5755957;0;;43:40:001030:1376
5756017;0;;43:40:001030:1342
5755959;0;;43:40:001030:1377
5755961;0;;43:40:001030:1378
5755963;0;;43:40:001030:1379
5755965;0;;43:40:001030:1380
